candidate_id,uri,post_created_at,post_text_raw,post_text_clean,candidate_phrase_raw,candidate_phrase_clean,candidate_phrase_alnum,candidate_source_type,candidate_rank_in_post,trend_id,trend_date,trend_name_raw,trend_name_clean,trend_key_no_hash,trend_counts,trend_num_hours,match_stage,match_method,match_score,lexical_score,semantic_token_cosine,semantic_char_trigram_jaccard,stage_rank,temporal_pool_mode,is_matched,is_ambiguous,ambiguity_count
10,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,need is most dire,need is most dire,need is most dire,ngram_4,11,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
11,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,dire he will return,dire he will return,dire he will return,ngram_4,12,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
12,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,return to save all,return to save all,return to save all,ngram_4,13,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
13,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,save all the pedophiles,save all the pedophiles,save all the pedophiles,ngram_4,14,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
14,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,does finally die,does finally die,does finally die,ngram_3,15,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
15,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,finally die there,finally die there,finally die there,ngram_3,16,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
16,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,die there ll,die there ll,die there ll,ngram_3,17,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
17,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,there ll arise,there ll arise,there ll arise,ngram_3,18,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
18,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,arise a new,arise a new,arise a new,ngram_3,19,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
19,at://did:plc:222ocxmd3qfo5pn7juncj5ds/app.bsky.feed.post/3mijstev6uk2k,2026-04-02T18:16:23.346Z,"when he does finally die there'll arise a new myth cycle about the President Who Waits, resting in his tomb until, when the need is most dire, he will return to save all the pedophiles",when he does finally die there'll arise a new myth cycle about the president who waits resting in his tomb until when the need is most dire he will return to save all the pedophiles,new myth cycle,new myth cycle,new myth cycle,ngram_3,20,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
20,at://did:plc:222p42fegwhwfyrc3gqam76j/app.bsky.feed.post/3mijsoh6et22d,2026-04-02T18:13:37.972Z,"What could Bondi have expected? The DOW is below 50,000",what could bondi have expected the dow is below 50 000,could bondi have expected,could bondi have expected,could bondi have expected,ngram_4,1,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
21,at://did:plc:222p42fegwhwfyrc3gqam76j/app.bsky.feed.post/3mijsoh6et22d,2026-04-02T18:13:37.972Z,"What could Bondi have expected? The DOW is below 50,000",what could bondi have expected the dow is below 50 000,dow is below 50,dow is below 50,dow is below 50,ngram_4,2,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
22,at://did:plc:222p42fegwhwfyrc3gqam76j/app.bsky.feed.post/3mijsoh6et22d,2026-04-02T18:13:37.972Z,"What could Bondi have expected? The DOW is below 50,000",what could bondi have expected the dow is below 50 000,bondi have expected,bondi have expected,bondi have expected,ngram_3,3,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
23,at://did:plc:222p42fegwhwfyrc3gqam76j/app.bsky.feed.post/3mijsoh6et22d,2026-04-02T18:13:37.972Z,"What could Bondi have expected? The DOW is below 50,000",what could bondi have expected the dow is below 50 000,expected the dow,expected the dow,expected the dow,ngram_3,4,69731.0,2024-08-05,The Dow,the dow,the dow,64315.0,6.0,semantic,token_cosine_char_trigram,0.6786904637922652,0.6086956521739131,0.8164965809277259,0.35714285714285715,1,global_fallback_no_date_overlap,True,True,4
23,at://did:plc:222p42fegwhwfyrc3gqam76j/app.bsky.feed.post/3mijsoh6et22d,2026-04-02T18:13:37.972Z,"What could Bondi have expected? The DOW is below 50,000",what could bondi have expected the dow is below 50 000,expected the dow,expected the dow,expected the dow,ngram_3,4,89362.0,2024-05-16,The Dow,the dow,the dow,31677.0,3.0,semantic,token_cosine_char_trigram,0.6786904637922652,0.6086956521739131,0.8164965809277259,0.35714285714285715,2,global_fallback_no_date_overlap,True,True,4
23,at://did:plc:222p42fegwhwfyrc3gqam76j/app.bsky.feed.post/3mijsoh6et22d,2026-04-02T18:13:37.972Z,"What could Bondi have expected? The DOW is below 50,000",what could bondi have expected the dow is below 50 000,expected the dow,expected the dow,expected the dow,ngram_3,4,59698.0,2024-01-23,The Dow,the dow,the dow,21761.0,2.0,semantic,token_cosine_char_trigram,0.6786904637922652,0.6086956521739131,0.8164965809277259,0.35714285714285715,3,global_fallback_no_date_overlap,True,True,4
23,at://did:plc:222p42fegwhwfyrc3gqam76j/app.bsky.feed.post/3mijsoh6et22d,2026-04-02T18:13:37.972Z,"What could Bondi have expected? The DOW is below 50,000",what could bondi have expected the dow is below 50 000,expected the dow,expected the dow,expected the dow,ngram_3,4,8040.0,2025-04-03,The Dow,the dow,the dow,19865.0,3.0,semantic,token_cosine_char_trigram,0.6786904637922652,0.6086956521739131,0.8164965809277259,0.35714285714285715,4,global_fallback_no_date_overlap,True,True,4
24,at://did:plc:222p42fegwhwfyrc3gqam76j/app.bsky.feed.post/3mijsoh6et22d,2026-04-02T18:13:37.972Z,"What could Bondi have expected? The DOW is below 50,000",what could bondi have expected the dow is below 50 000,dow is below,dow is below,dow is below,ngram_3,5,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
25,at://did:plc:222p42fegwhwfyrc3gqam76j/app.bsky.feed.post/3mijsoh6et22d,2026-04-02T18:13:37.972Z,"What could Bondi have expected? The DOW is below 50,000",what could bondi have expected the dow is below 50 000,below 50 000,below 50 000,below 50 000,ngram_3,6,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
26,at://did:plc:222p42fegwhwfyrc3gqam76j/app.bsky.feed.post/3mijsoh6et22d,2026-04-02T18:13:37.972Z,"What could Bondi have expected? The DOW is below 50,000",what could bondi have expected the dow is below 50 000,could bondi,could bondi,could bondi,ngram_2,7,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
27,at://did:plc:222p42fegwhwfyrc3gqam76j/app.bsky.feed.post/3mijsoh6et22d,2026-04-02T18:13:37.972Z,"What could Bondi have expected? The DOW is below 50,000",what could bondi have expected the dow is below 50 000,below 50,below 50,below 50,ngram_2,8,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
28,at://did:plc:222p42fegwhwfyrc3gqam76j/app.bsky.feed.post/3mijsoh6et22d,2026-04-02T18:13:37.972Z,"What could Bondi have expected? The DOW is below 50,000",what could bondi have expected the dow is below 50 000,50 000,50 000,50 000,ngram_2,9,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
29,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,important subject obviously well,important subject obviously well,important subject obviously well,ngram_4,1,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
30,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,subject obviously well done,subject obviously well done,subject obviously well done,ngram_4,2,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
31,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,obviously well done wishing,obviously well done wishing,obviously well done wishing,ngram_4,3,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
32,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,done wishing you continued,done wishing you continued,done wishing you continued,ngram_4,4,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
33,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,wishing you continued success,wishing you continued success,wishing you continued success,ngram_4,5,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
34,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,important subject obviously,important subject obviously,important subject obviously,ngram_3,6,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
35,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,subject obviously well,subject obviously well,subject obviously well,ngram_3,7,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
36,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,obviously well done,obviously well done,obviously well done,ngram_3,8,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
37,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,well done wishing,well done wishing,well done wishing,ngram_3,9,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
38,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,wishing you continued,wishing you continued,wishing you continued,ngram_3,10,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
39,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,important subject,important subject,important subject,ngram_2,11,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
40,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,subject obviously,subject obviously,subject obviously,ngram_2,12,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
41,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,obviously well,obviously well,obviously well,ngram_2,13,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
42,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,well done,well done,well done,ngram_2,14,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
43,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,done wishing,done wishing,done wishing,ngram_2,15,62220.0,2024-01-01,Wishing,wishing,wishing,705109.0,8.0,semantic,token_cosine_char_trigram,0.6449747468305832,0.7368421052631579,0.7071067811865475,0.5,1,global_fallback_no_date_overlap,True,True,2
43,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,done wishing,done wishing,done wishing,ngram_2,15,12776.0,2025-12-24,Wishing,wishing,wishing,204722.0,1.0,semantic,token_cosine_char_trigram,0.6449747468305832,0.7368421052631579,0.7071067811865475,0.5,2,global_fallback_no_date_overlap,True,True,2
44,at://did:plc:223eaz6uecpa3t63jdlojutp/app.bsky.feed.post/3mijsplw7rk2g,2026-04-02T18:14:16.501Z,An important subject & obviously well done. Wishing you continued success.,an important subject obviously well done wishing you continued success,continued success,continued success,continued success,ngram_2,16,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
45,at://did:plc:22auflhdbiemhxvkgvpusmmd/app.bsky.feed.post/3mijsrlnvck2t,2026-04-02T18:15:23.338Z,i never flirted before.. i just exist or look at you and hope it does something,i never flirted before i just exist or look at you and hope it does something,flirted before i just,flirted before i just,flirted before i just,ngram_4,1,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
46,at://did:plc:22auflhdbiemhxvkgvpusmmd/app.bsky.feed.post/3mijsrlnvck2t,2026-04-02T18:15:23.338Z,i never flirted before.. i just exist or look at you and hope it does something,i never flirted before i just exist or look at you and hope it does something,before i just exist,before i just exist,before i just exist,ngram_4,2,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
47,at://did:plc:22auflhdbiemhxvkgvpusmmd/app.bsky.feed.post/3mijsrlnvck2t,2026-04-02T18:15:23.338Z,i never flirted before.. i just exist or look at you and hope it does something,i never flirted before i just exist or look at you and hope it does something,just exist or look,just exist or look,just exist or look,ngram_4,3,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
48,at://did:plc:22auflhdbiemhxvkgvpusmmd/app.bsky.feed.post/3mijsrlnvck2t,2026-04-02T18:15:23.338Z,i never flirted before.. i just exist or look at you and hope it does something,i never flirted before i just exist or look at you and hope it does something,hope it does something,hope it does something,hope it does something,ngram_4,4,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
49,at://did:plc:22auflhdbiemhxvkgvpusmmd/app.bsky.feed.post/3mijsrlnvck2t,2026-04-02T18:15:23.338Z,i never flirted before.. i just exist or look at you and hope it does something,i never flirted before i just exist or look at you and hope it does something,never flirted before,never flirted before,never flirted before,ngram_3,5,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
50,at://did:plc:22auflhdbiemhxvkgvpusmmd/app.bsky.feed.post/3mijsrlnvck2t,2026-04-02T18:15:23.338Z,i never flirted before.. i just exist or look at you and hope it does something,i never flirted before i just exist or look at you and hope it does something,before i just,before i just,before i just,ngram_3,6,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
51,at://did:plc:22auflhdbiemhxvkgvpusmmd/app.bsky.feed.post/3mijsrlnvck2t,2026-04-02T18:15:23.338Z,i never flirted before.. i just exist or look at you and hope it does something,i never flirted before i just exist or look at you and hope it does something,exist or look,exist or look,exist or look,ngram_3,7,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
52,at://did:plc:22auflhdbiemhxvkgvpusmmd/app.bsky.feed.post/3mijsrlnvck2t,2026-04-02T18:15:23.338Z,i never flirted before.. i just exist or look at you and hope it does something,i never flirted before i just exist or look at you and hope it does something,hope it does,hope it does,hope it does,ngram_3,8,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
53,at://did:plc:22auflhdbiemhxvkgvpusmmd/app.bsky.feed.post/3mijsrlnvck2t,2026-04-02T18:15:23.338Z,i never flirted before.. i just exist or look at you and hope it does something,i never flirted before i just exist or look at you and hope it does something,never flirted,never flirted,never flirted,ngram_2,9,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
54,at://did:plc:22auflhdbiemhxvkgvpusmmd/app.bsky.feed.post/3mijsrlnvck2t,2026-04-02T18:15:23.338Z,i never flirted before.. i just exist or look at you and hope it does something,i never flirted before i just exist or look at you and hope it does something,flirted before,flirted before,flirted before,ngram_2,10,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
55,at://did:plc:22auflhdbiemhxvkgvpusmmd/app.bsky.feed.post/3mijsrlnvck2t,2026-04-02T18:15:23.338Z,i never flirted before.. i just exist or look at you and hope it does something,i never flirted before i just exist or look at you and hope it does something,just exist,just exist,just exist,ngram_2,11,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
56,at://did:plc:22auflhdbiemhxvkgvpusmmd/app.bsky.feed.post/3mijsrlnvck2t,2026-04-02T18:15:23.338Z,i never flirted before.. i just exist or look at you and hope it does something,i never flirted before i just exist or look at you and hope it does something,does something,does something,does something,ngram_2,12,81901.0,2024-08-21,DO SOMETHING,do something,do something,159205.0,6.0,fuzzy,difflib_sequence_ratio,0.9230769230769231,0.9230769230769231,,,1,global_fallback_no_date_overlap,True,True,2
56,at://did:plc:22auflhdbiemhxvkgvpusmmd/app.bsky.feed.post/3mijsrlnvck2t,2026-04-02T18:15:23.338Z,i never flirted before.. i just exist or look at you and hope it does something,i never flirted before i just exist or look at you and hope it does something,does something,does something,does something,ngram_2,12,75350.0,2025-01-28,DO SOMETHING,do something,do something,150778.0,4.0,fuzzy,difflib_sequence_ratio,0.9230769230769231,0.9230769230769231,,,2,global_fallback_no_date_overlap,True,True,2
57,at://did:plc:22bb4y5cxdp3eucibibb4fkp/app.bsky.feed.post/3mijstty2zc2s,2026-04-02T18:16:39.167Z,Gonna be slow posting for a few days. Out on vacation. This machete's only gonna cut limes for a few days.,gonna be slow posting for a few days out on vacation this machete's only gonna cut limes for a few days,gonna be slow posting,gonna be slow posting,gonna be slow posting,ngram_4,1,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
58,at://did:plc:22bb4y5cxdp3eucibibb4fkp/app.bsky.feed.post/3mijstty2zc2s,2026-04-02T18:16:39.167Z,Gonna be slow posting for a few days. Out on vacation. This machete's only gonna cut limes for a few days.,gonna be slow posting for a few days out on vacation this machete's only gonna cut limes for a few days,posting for a few,posting for a few,posting for a few,ngram_4,2,,,,,,,,unmatched,none,0.0,,,,1,global_fallback_no_date_overlap,False,False,0
